{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.5710940758369532 -2.705420346997286
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.8580705682853988 -3.107894764747442
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.561981517593722 -2.628935418314782
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.123536303040737 -3.123911658408197
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.4926504155945963 -4.698211350146984
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.20467210997603047 -4.521331855403091
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.9774995078619781 -2.5523737870453544
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.1104640620547173 -1.487483180533232
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.346405223934255 -3.310558143548647
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.8041467427084115 -4.387522871262064
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.2118502452548512 -2.0228527925156357
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.4989021974385537 -4.9457594142483
Added to tree (3, -2) parent (3, -1)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.09402786223535031 -4.975156612702392
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.009948160326700872 -5.344208539564534
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.0887796934441667 -3.401113786885844
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.6807737151058575 -2.9725321197528842
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.201193962847924 -2.5915653911269203
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.7643094819532052 -4.412402335724039
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.2994799792255947 -4.390723204989385
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.5460124399864128 -2.7900597041032
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.3859634415860853 -4.010422042674605
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.07569904034437513 -4.295140169681659
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.5143397649918597 -2.917272788616742
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.7321556873039867 -2.4703041281328524
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.1716630169248106 -2.2833657132952965
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.242390928581898 -3.81978865694623
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.8831583494138613 -2.7650713575576447
Added to tree (3, -3) parent (3, -2)
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 3.6157963020036163 -3.0891987714493325
Added to tree (4, -3) parent (3, -3)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.2992518860720565 -1.7194952635203435
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.225369562662081 -2.146814827962629
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.9340734941717415 -2.2679628580907547
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.2091699499307538 -0.7329957412846397
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 4.29384884060579 -2.6313770276623245
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.1811363074992016 -1.6487681327056123
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.720628367412786 -2.8158704330556645
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.6779712112466427 -1.6277971154578665
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.3019534212315875 0.1400586860381452
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.1913740102179986 -1.9689543526328066
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.4520614618636216 -2.002017144117218
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.702458565253721 -1.2016086830115
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.1505934127917214 -1.0845549804357688
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.3498252705540494 -1.4698687874960399
