{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3430555941283275 0.05413865575519594 -3.9770747480167685
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2499457236283797 -0.6225921449066334 -2.640920319737454
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1444216642970109 -1.4176477280943232 -2.5682499469274767
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.061182954923252 0.1699672800570795 -2.9735735747462932
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9725335236907369 0.4049234928593535 -2.9333405679050664
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.062583877981941 -0.3990738274063972 -1.7999460259029227
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.152798658291766 -0.19979857530802292 -1.6292136168885731
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2389551916980674 2.3544238192286286 -1.0818250279781827
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} -1.3370298305016377 -0.0032199448606888836 -2.964568162763493
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3498838878769956 0.795950711786702 -3.1465567662615532
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2631846737956265 0.9095423425848992 -1.3857088060036764
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.1725643023191388 1.051199771317414 -3.064275692872177
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2457666309368158 1.237223628649133 -3.319571890602357
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3342735360873428 0.8753340516029482 -2.843580002618566
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2731108264477269 1.1052097149157873 -2.5291964559569866
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3600990406934812 1.2226330914577659 -4.955157153019947
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.274560279454709 1.4011920941845233 -3.0266647598988037
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} -1.1932976809377596 0.19528186389950974 -4.011968702581065
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.1856027235562696 -0.7292007144828858 -0.06729279849939829
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2910836948200612 0.5406617377205407 -4.134280645245916
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3752150103194307 0.46967583985983197 -2.9185976423403694
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.296727778198976 1.5490551876160623 -2.387194498374434
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.3826102616458518 -0.10821243396907221 -1.9312064922545957
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.4485478660397844 -0.09227243064600543 -3.1147969941123606
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3607541438505315 1.384366316820433 -4.088831401792703
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2522921825353834 -0.9404465239350657 -0.7336006979158043
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3340794195942687 0.7273951210831626 -4.293684126826122
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2410089227424919 0.5413035943045372 -3.4284503567395106
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1414580039635842 0.4974202526084639 -2.5060860688296955
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.0697992743280027 1.4017047885264162 -1.6377050399870114
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1419780340651515 0.7809786345836187 -0.8400195562036998
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.054764975132441 0.15853421181753902 -5.448034097819075
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1331701376293601 1.0592171046424994 -2.3012056541320334
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.0277268268827893 2.376110686851689 -4.202548428448594
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.1034028371761981 1.3850489887254014 -3.6804377947821934
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.1738932727376261 0.9127905608291087 -3.041897159307311
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2754620788478186 0.6207807211698082 -1.2438866193680411
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.184542409335803 1.6154011659605203 -1.5773864502144193
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2603967341208644 0.6604024494640441 -0.9514510924734196
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3566529937858753 1.77081228876105 -3.5628769879674707
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2782682900035087 1.2640089244336536 -2.8773171438128315
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2017037881748576 1.3902784616492454 -3.196603022549411
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2738180449647007 -0.23296702058576102 -2.0053953828127646
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2057281862536045 2.383299507092829 -2.4847387469956317
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.124157544589496 0.3761111333151348 -3.793706481821488
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.0541712239020793 2.19325561011064 -1.0576063553203312
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9736038374180676 1.458191279379264 -1.978429279944507
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.8987166417398651 1.9176570309598162 -3.8270722624889686
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9656139937450412 0.9548909172821993 -2.2603327918060216
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9082795996682274 0.9106375825175803 -2.117374860230683
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9918119269880754 0.7885330258175998 -3.5587768715821966
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9082024990813746 1.1195295649267223 -2.4325722545193855
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9738915522951004 0.41465566378272456 -1.2755910135757773
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.8874888561004974 0.7315889556860782 -3.4037051147578694
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9965098748489125 -0.14666018195009656 -3.357924937886253
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.0650183599727634 2.375716150594201 -2.638612060280906
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9990738960375576 1.3581591324293925 -4.34424063140348
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.0703809273418061 1.9840029194846807 -3.1033193705331996
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.1506353850082573 2.9934166873715355 -2.706228769855727
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.2179576398687173 1.0948788401758804 -3.224245099936212
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.319577085799495 0.8890278103041851 -1.149379757966301
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4002554962604505 1.4864463484526311 -1.5006841496687287
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.490460666891259 1.8879265701278314 -3.5397682606385956
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.5712055203349389 1.659051548071858 -2.3877642223386033
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.5042209889110234 -0.4142483951924021 -1.1441892286772202
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4122593328683117 1.2081634809170794 -1.805800717135213
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.495389015671132 3.4452743796696836 -3.6453499720587956
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.550761533386492 1.406295607415018 -2.52812499995494
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.623752506964759 -0.8645930809882145 -2.098481731758312
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.72893429905322 -0.08382751879855732 -2.1308499662994507
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.628051972324981 0.2934010931253397 -4.173849871207381
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7197358918211734 1.9024677770904646 -3.634729054495864
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.8095350519944189 0.24178453971296676 -3.826130794023669
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7158401374101766 -0.4605596402533081 -4.56991582916811
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7696490322588794 -1.65784296336372 -1.2749801619942787
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.8593535023151766 0.37763428298026724 -3.800141874585421
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.9618762898074316 -0.9636393723112064 -5.315733272673015
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.868789163668163 -0.6369992669760904 -3.0596269664300735
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.9560175598919864 0.15359242933388373 -2.1054159070427545
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.0678850968574496 -1.672814717818511 -3.6569288532089956
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.1387590398464416 -0.17791332639669122 -2.6589261765563776
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.2106629610454918 -0.2530848318893959 -2.8057185386536787
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.2981153392053337 -2.0144404362836212 -2.413220972116818
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.382711314607176 -0.22104988628080946 -3.242416028144106
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.4799148345256548 -0.8795729885291053 -2.0510713207636115
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.5428060337841587 -0.8023310786499849 -3.560618468109368
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.637062469161532 0.48642567265497405 -2.63841941160166
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.70758350547824 0.322985759718847 -1.686101546808004
